State,Month,Year,stateBirths,StateName
9,2,1992,901,Connecticut
9,3,1992,902,Connecticut
9,4,1992,861,Connecticut
9,5,1992,931,Connecticut
9,6,1992,961,Connecticut
9,7,1992,949,Connecticut
9,8,1992,895,Connecticut
9,9,1992,909,Connecticut
9,10,1992,890,Connecticut
9,11,1992,854,Connecticut
9,12,1992,939,Connecticut
10,1,1992,15785,Delaware
10,2,1992,14630,Delaware
10,3,1992,15963,Delaware
10,4,1992,14955,Delaware
10,5,1992,15400,Delaware
10,6,1992,15671,Delaware
10,7,1992,16556,Delaware
10,8,1992,16502,Delaware
10,9,1992,16699,Delaware
10,10,1992,16956,Delaware
10,11,1992,15839,Delaware
10,12,1992,16757,Delaware
11,1,1992,9207,District Of Columbia
11,2,1992,8502,District Of Columbia
11,3,1992,9101,District Of Columbia
11,4,1992,8932,District Of Columbia
11,5,1992,9013,District Of Columbia
11,6,1992,9117,District Of Columbia
11,7,1992,9860,District Of Columbia
11,8,1992,9585,District Of Columbia
11,9,1992,9523,District Of Columbia
11,10,1992,9537,District Of Columbia
11,11,1992,9120,District Of Columbia
11,12,1992,9619,District Of Columbia
12,1,1992,1720,Florida
12,2,1992,1605,Florida
12,3,1992,1601,Florida
12,4,1992,1634,Florida
12,5,1992,1660,Florida
12,6,1992,1546,Florida
12,7,1992,1636,Florida
12,8,1992,1635,Florida
12,9,1992,1751,Florida
12,10,1992,1726,Florida
12,11,1992,1613,Florida
12,12,1992,1737,Florida
13,1,1992,1364,Georgia
13,2,1992,1300,Georgia
13,3,1992,1436,Georgia
13,4,1992,1472,Georgia
13,5,1992,1527,Georgia
13,6,1992,1499,Georgia
13,7,1992,1586,Georgia
13,8,1992,1518,Georgia
13,9,1992,1530,Georgia
13,10,1992,1406,Georgia
13,11,1992,1305,Georgia
13,12,1992,1419,Georgia
14,1,1992,15609,
14,2,1992,14677,
14,3,1992,15657,
14,4,1992,15555,
14,5,1992,16594,
14,6,1992,16068,
14,7,1992,17352,
14,8,1992,16428,
14,9,1992,16099,
14,10,1992,16437,
14,11,1992,15054,
14,12,1992,15866,
15,1,1992,6940,Hawaii
15,2,1992,6426,Hawaii
15,3,1992,6828,Hawaii
15,4,1992,6836,Hawaii
15,5,1992,7309,Hawaii
15,6,1992,7074,Hawaii
15,7,1992,7546,Hawaii
15,8,1992,7239,Hawaii
15,9,1992,7169,Hawaii
15,10,1992,7051,Hawaii
15,11,1992,6667,Hawaii
15,12,1992,7055,Hawaii
16,1,1992,3098,Idaho
16,2,1992,2977,Idaho
16,3,1992,3277,Idaho
16,4,1992,3256,Idaho
16,5,1992,3349,Idaho
16,6,1992,3148,Idaho
16,7,1992,3422,Idaho
16,8,1992,3301,Idaho
16,9,1992,3302,Idaho
16,10,1992,3177,Idaho
16,11,1992,2996,Idaho
16,12,1992,3166,Idaho
17,1,1992,3101,Illinois
17,2,1992,3076,Illinois
17,3,1992,3257,Illinois
17,4,1992,3099,Illinois
17,5,1992,3272,Illinois
17,6,1992,3119,Illinois
17,7,1992,3385,Illinois
17,8,1992,3281,Illinois
17,9,1992,3206,Illinois
17,10,1992,3155,Illinois
17,11,1992,2908,Illinois
17,12,1992,3168,Illinois
18,1,1992,4413,Indiana
18,2,1992,4192,Indiana
18,3,1992,4515,Indiana
18,4,1992,4268,Indiana
18,5,1992,4388,Indiana
18,6,1992,4413,Indiana
18,7,1992,4849,Indiana
18,8,1992,4628,Indiana
18,9,1992,4689,Indiana
18,10,1992,4557,Indiana
18,11,1992,4330,Indiana
18,12,1992,4598,Indiana
19,1,1992,5871,Iowa
19,2,1992,5545,Iowa
19,3,1992,5607,Iowa
19,4,1992,5360,Iowa
19,5,1992,5576,Iowa
19,6,1992,5777,Iowa
