,ds,y
385,2011-01-01,90.5
386,2011-02-01,90.6
387,2011-03-01,90.7
388,2011-04-01,90.7
389,2011-05-01,90.7
390,2011-06-01,90.8
391,2011-07-01,90.8
392,2011-08-01,90.8
393,2011-09-01,90.9
394,2011-10-01,91.0
395,2011-11-01,91.1
396,2011-12-01,91.1
397,2012-01-01,91.2
398,2012-02-01,91.3
399,2012-03-01,91.3
400,2012-04-01,91.4
401,2012-05-01,91.5
402,2012-06-01,91.6
403,2012-07-01,91.6
404,2012-08-01,91.7
405,2012-09-01,91.8
406,2012-10-01,91.9
407,2012-11-01,91.9
408,2012-12-01,92.0
409,2013-01-01,92.0
410,2013-02-01,92.1
411,2013-03-01,92.1
412,2013-04-01,92.2
413,2013-05-01,92.2
414,2013-06-01,92.3
415,2013-07-01,92.4
416,2013-08-01,92.4
417,2013-09-01,92.5
418,2013-10-01,92.5
419,2013-11-01,92.6
420,2013-12-01,92.7
421,2014-01-01,92.8
422,2014-02-01,92.9
423,2014-03-01,93.0
424,2014-04-01,93.1
425,2014-05-01,93.2
426,2014-06-01,93.3
427,2014-07-01,93.4
428,2014-08-01,93.5
429,2014-09-01,93.6
430,2014-10-01,93.7
431,2014-11-01,93.8
432,2014-12-01,93.9
433,2015-01-01,94.0
434,2015-02-01,94.1
435,2015-03-01,94.2
436,2015-04-01,94.2
437,2015-05-01,94.3
438,2015-06-01,94.4
439,2015-07-01,94.5
440,2015-08-01,94.6
441,2015-09-01,94.6
442,2015-10-01,94.7
443,2015-11-01,94.7
444,2015-12-01,94.8
445,2016-01-01,94.8
446,2016-02-01,94.9
447,2016-03-01,94.9
448,2016-04-01,95.0
449,2016-05-01,95.0
450,2016-06-01,95.0
451,2016-07-01,95.1
452,2016-08-01,95.1
453,2016-09-01,95.1
454,2016-10-01,95.1
455,2016-11-01,95.1
456,2016-12-01,95.1
457,2017-01-01,95.2
458,2017-02-01,95.2
459,2017-03-01,95.3
460,2017-04-01,95.3
461,2017-05-01,95.3
462,2017-06-01,95.4
463,2017-07-01,95.4
464,2017-08-01,95.5
465,2017-09-01,95.6
466,2017-10-01,95.6
467,2017-11-01,95.6
468,2017-12-01,95.7
469,2018-01-01,95.7
470,2018-02-01,95.8
471,2018-03-01,95.8
472,2018-04-01,95.9
473,2018-05-01,95.9
474,2018-06-01,95.9
475,2018-07-01,96.0
476,2018-08-01,96.0
477,2018-09-01,96.0
478,2018-10-01,96.1
479,2018-11-01,96.1
480,2018-12-01,96.1
481,2019-01-01,96.1
482,2019-02-01,96.2
483,2019-03-01,96.2
484,2019-04-01,96.2
485,2019-05-01,96.2
486,2019-06-01,96.2
487,2019-07-01,96.3
488,2019-08-01,96.3
489,2019-09-01,96.3
490,2019-10-01,96.3
491,2019-11-01,96.3
492,2019-12-01,96.4
493,2020-01-01,96.4
494,2020-02-01,96.3
495,2020-03-01,95.5
496,2020-04-01,94.7
497,2020-05-01,94.1
498,2020-06-01,93.5
499,2020-07-01,93.1
500,2020-08-01,92.8
501,2020-09-01,92.5
502,2020-10-01,92.2
503,2020-11-01,91.9
504,2020-12-01,91.7
505,2021-01-01,91.5
506,2021-02-01,91.3
507,2021-03-01,92.0
508,2021-04-01,92.6
509,2021-05-01,93.1
510,2021-06-01,93.5
511,2021-07-01,93.8
512,2021-08-01,94.0
513,2021-09-01,94.2
514,2021-10-01,94.4
515,2021-11-01,94.7
516,2021-12-01,94.8
517,2022-01-01,95.0
518,2022-02-01,95.3
519,2022-03-01,95.5
520,2022-04-01,95.6
521,2022-05-01,95.8
522,2022-06-01,96.0
523,2022-07-01,96.1
