,Monthly Nominal GDP Index,Monthly Real GDP Index,,
2013 - Feb,16603.250,17601.623,,
2013 - Mar,16663.087,17666.597,,
2013 - Apr,16682.505,17699.113,,
2013 - May,16663.631,17648.556,,
2013 - Jun,16839.925,17782.029,,
2013 - Jul,16881.613,17803.636,,
2013 - Aug,16986.520,17894.736,,
2013 - Sep,16993.381,17883.668,,
2013 - Oct,17117.005,17984.968,,
2013 - Nov,17221.942,18055.047,,
2013 - Dec,17237.111,18009.073,,
2014 - Jan,17136.285,17898.264,,
2014 - Feb,17215.486,17986.909,,
2014 - Mar,17241.443,17977.417,,
2014 - Apr,17404.014,18109.018,,
2014 - May,17542.869,18200.114,,
2014 - Jun,17608.641,18249.267,,
2014 - Jul,17749.400,18363.794,,
2014 - Aug,17860.950,18466.665,,
2014 - Sep,17802.334,18391.047,,
2014 - Oct,17906.109,18495.046,,
2014 - Nov,17926.497,18509.819,,
2014 - Dec,17903.631,18495.810,,
2015 - Jan,18002.955,18652.508,,
2015 - Feb,18122.567,18729.565,,
2015 - Mar,18065.066,18618.309,,
2015 - Apr,18243.274,18784.820,,
2015 - May,18256.753,18749.045,,
2015 - Jun,18339.324,18813.268,,
2015 - Jul,18368.130,18820.538,,
2015 - Aug,18379.862,18831.586,,
2015 - Sep,18456.886,18920.520,,
2015 - Oct,18469.416,18917.436,,
2015 - Nov,18387.708,18837.534,,
2015 - Dec,18448.287,18921.929,,
2016 - Jan,18494.414,18980.243,,
2016 - Feb,18463.555,18952.742,,
2016 - Mar,18619.830,19072.428,,
2016 - Apr,18704.041,19091.527,,
2016 - May,18687.668,19042.327,,
2016 - Jun,18743.397,19054.522,,
2016 - Jul,18778.439,19098.776,,
2016 - Aug,18889.881,19204.273,,
2016 - Sep,19009.597,19290.786,,
2016 - Oct,18983.396,19219.035,,
2016 - Nov,19103.027,19329.376,,
2016 - Dec,19181.714,19364.658,,
2017 - Jan,19228.522,19356.098,,
2017 - Feb,19260.625,19373.787,,
2017 - Mar,19351.105,19465.194,,
2017 - Apr,19321.063,19394.356,,
2017 - May,19439.409,19515.209,,
2017 - Jun,19555.456,19611.326,,
2017 - Jul,19577.928,19598.376,,
2017 - Aug,19666.027,19638.293,,
2017 - Sep,19833.831,19745.604,,
2017 - Oct,19883.840,19761.867,,
2017 - Nov,20066.154,19910.614,,
2017 - Dec,20161.270,19974.499,,
2018 - Jan,20251.628,20001.752,,
2018 - Feb,20385.265,20097.463,,
2018 - Mar,20348.767,20032.973,,
2018 - Apr ,20474.045,20090.323,,
2018 - May,20616.394,20178.514,,
2018 - Jun,20652.297,20182.585,,
2018 - Jul,20751.521,20258.191,,
2018 - Aug,20807.139,20287.982,,
2018 - Sep,20837.530,20282.312,,
2018 - Oct,20892.922,20286.933,,
2018 - Nov,20912.470,20302.771,,
2018 - Dec,20948.209,20324.922,,
2019 - Jan,21087.059,20428.484,,
2019 - Feb,21087.401,20392.600,,
2019 - Mar,21137.939,20424.372,,
2019 - Apr,21290.433,20502.273,,
2019 - May,21363.656,20563.594,,
2019 - Jun,21500.236,20687.740,,
2019 - Jul,21640.920,20773.845,,
2019 - Aug,21695.348,20821.844,,
2019 - Sep,21746.578,20857.095,,
2019 - Oct,21776.227,20858.705,,
2019 - Nov,21936.397,20994.132,,
2019 - Dec,21994.547,21000.636,,
2020 - Jan,22018.618,20964.473,,
2020 - Feb,22113.375,21047.836,,
2020 - Mar,20987.546,19985.247,,
2020 - Apr,18949.189,18158.546,,
2020 - May,19815.645,18958.370,,
2020 - Jun,20974.596,19990.450,,
2020 - Jul,21399.651,20310.175,,
2020 - Aug,21635.223,20504.946,,
2020 - Sep,21908.046,20724.711,,
2020 - Oct,22047.558,20819.775,,
2020 - Nov,21896.625,20619.620,,
2020 - Dec,22129.323,20737.672,,
2021 - Jan,22540.056,21026.866,,
2021 - Feb,22331.954,20743.492,,
2021 - Mar,22928.545,21206.388,,
2021 - Apr,23135.405,21284.595,,
2021 - May,23281.362,21301.080,,
2021 - June,23460.318,21347.863,,
2021 - July,23662.548,21434.344,,
2021 - Aug,23819.960,21465.278,,
2021 - Sep,24004.412,21554.440,,
2021 - Oct,24461.039,21797.574,,
2021 - Nov,24574.991,21771.171,,
2021 - Dec,24927.778,21979.084,,
2022 - Jan,24875.862,21778.155,,
2022 - Feb,25001.811,21731.158,,
2022 - Mar,25209.675,21712.212,,
2022 - Apr,25311.151,21704.231,,
2022 - May,25540.881,21707.463,,
2022 - Jun,25780.787,21717.798,,
2022 - Jul,25763.104,21720.243,,
2022 - Aug,26118.837,21967.916,,
2022 - Sep,26101.976,21870.323,,
2022 - Oct,26302.515,21936.989,,
2022 - Nov,26452.558,22001.067,,
2022 - Dec,26470.142,22036.766,,
2023 - Jan,26737.452,22124.348,,
2023 - Feb,26822.073,22104.968,,
2023 - Mar,26881.278,22112.698,,
2023 - Apr,26933.757,22120.239,,
2023 - May,27069.169,22251.689,,
2023 - June,27186.110,22309.563,,
2023 - July,27387.137,22414.678,,
2023 - Aug,27624.016,22501.321,,
2023 - Sep,27819.230,22561.605,,
2023 - Oct,27757.209,22524.995,,
2023 - Nov,27936.313,22674.040,,
2023 - Dec,28177.472,22844.025,,
2024 - Jan,28072.857,22684.233,,
2024 - Feb,28360.395,22829.790,,
2024 - Mar,28374.270,22767.625,,
2024 - Apr,28553.963,22853.520,,
2024 - May,28687.910,22960.986,,
2024 - June,28717.658,22967.554,,
2024 - July,28909.887,23069.876,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
