Month,Year,LA_Births
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1994-01-01,1994,6609
1994-02-01,1994,6329
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1994-01-01,1994,6609
1994-02-01,1994,6329
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1994-01-01,1994,6609
1994-02-01,1994,6329
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1994-01-01,1994,6609
1994-02-01,1994,6329
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1994-01-01,1994,6609
1994-02-01,1994,6329
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1994-01-01,1994,6609
1994-02-01,1994,6329
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1994-01-01,1994,6609
1994-02-01,1994,6329
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1994-01-01,1994,6609
1994-02-01,1994,6329
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1994-01-01,1994,6609
1994-02-01,1994,6329
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1994-01-01,1994,6609
1994-02-01,1994,6329
1994-03-01,1994,7151
1994-04-01,1994,7042
1994-05-01,1994,7375
1994-06-01,1994,7232
1994-07-01,1994,7621
1994-08-01,1994,7395
1994-09-01,1994,6987
1994-10-01,1994,7071
1994-11-01,1994,6334
1994-12-01,1994,6641
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1995-01-01,1995,6564
1995-02-01,1995,6031
1995-03-01,1995,6939
1995-04-01,1995,6586
1995-05-01,1995,7261
1995-06-01,1995,7304
1995-07-01,1995,7404
1995-08-01,1995,7269
1995-09-01,1995,7075
1995-10-01,1995,6645
1995-11-01,1995,6367
1995-12-01,1995,6203
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
1996-06-01,1996,6895
1996-07-01,1996,7148
1996-08-01,1996,7026
1996-09-01,1996,6791
1996-10-01,1996,6930
1996-11-01,1996,6232
1996-12-01,1996,6533
1996-01-01,1996,6268
1996-02-01,1996,6112
1996-03-01,1996,6531
1996-04-01,1996,6706
1996-05-01,1996,7104
