ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1995-04-01,49136.591154625006,11305.733385585174,11399.472891976193,49136.591154625006,49136.591154625006,-37783.41178417933,-37783.41178417933,-37783.41178417933,-37783.41178417933,-37783.41178417933,-37783.41178417933,0.0,0.0,0.0,11353.17937044568
1995-07-01,49187.785021081865,11425.681702631357,11519.548848882316,49187.785021081865,49187.785021081865,-37715.68679427612,-37715.68679427612,-37715.68679427612,-37715.68679427612,-37715.68679427612,-37715.68679427612,0.0,0.0,0.0,11472.098226805749
1995-10-01,49239.54145749978,11519.56871416408,11618.028435897173,49239.54145749978,49239.54145749978,-37668.10921261441,-37668.10921261441,-37668.10921261441,-37668.10921261441,-37668.10921261441,-37668.10921261441,0.0,0.0,0.0,11571.43224488537
1996-01-01,49291.548850303014,11604.00123590248,11696.907715437254,49291.548850303014,49291.548850303014,-37639.72516315525,-37639.72516315525,-37639.72516315525,-37639.72516315525,-37639.72516315525,-37639.72516315525,0.0,0.0,0.0,11651.823687147764
1996-04-01,49342.9909453584,11753.384859219124,11844.863206842087,49342.9909453584,49342.9909453584,-37542.08901131681,-37542.08901131681,-37542.08901131681,-37542.08901131681,-37542.08901131681,-37542.08901131681,0.0,0.0,0.0,11800.901934041583
1996-07-01,49511.133811249885,11862.76217985792,11958.522627766484,49511.133811249885,49511.133811249885,-37600.51350588772,-37600.51350588772,-37600.51350588772,-37600.51350588772,-37600.51350588772,-37600.51350588772,0.0,0.0,0.0,11910.620305362165
1996-10-01,49681.172892302624,12014.23740478052,12112.848510386859,49681.172892302624,49681.172892302624,-37616.86324531392,-37616.86324531392,-37616.86324531392,-37616.86324531392,-37616.86324531392,-37616.86324531392,0.0,0.0,0.0,12064.309646988702
1997-01-01,49851.21197335536,12100.63807189991,12196.254195696542,49851.21197335536,49851.21197335536,-37701.021867636126,-37701.021867636126,-37701.021867636126,-37701.021867636126,-37701.021867636126,-37701.021867636126,0.0,0.0,0.0,12150.190105719237
1997-04-01,50017.5545528209,12240.760699210641,12343.55159618015,50017.5545528209,50017.5545528209,-37724.659617240104,-37724.659617240104,-37724.659617240104,-37724.659617240104,-37724.659617240104,-37724.659617240104,0.0,0.0,0.0,12292.894935580793
1997-07-01,50185.74538316937,12350.38790368707,12447.040459279104,50185.74538316937,50185.74538316937,-37787.4673636608,-37787.4673636608,-37787.4673636608,-37787.4673636608,-37787.4673636608,-37787.4673636608,0.0,0.0,0.0,12398.278019508572
1997-10-01,50353.877533682484,12510.34468964771,12607.312068704701,50353.877533682484,50353.877533682484,-37796.49323786402,-37796.49323786402,-37796.49323786402,-37796.49323786402,-37796.49323786402,-37796.49323786402,0.0,0.0,0.0,12557.384295818461
1998-01-01,50522.00968419561,12660.007118722602,12752.532513739929,50522.00968419561,50522.00968419561,-37816.73943527398,-37816.73943527398,-37816.73943527398,-37816.73943527398,-37816.73943527398,-37816.73943527398,0.0,0.0,0.0,12705.270248921632
1998-04-01,50686.4867439025,12830.773173525906,12927.822903709595,50686.4867439025,50686.4867439025,-37805.10114872551,-37805.10114872551,-37805.10114872551,-37805.10114872551,-37805.10114872551,-37805.10114872551,0.0,0.0,0.0,12881.385595176987
1998-07-01,50852.79132657729,12979.681378217307,13076.189821491595,50852.79132657729,50852.79132657729,-37825.73376267436,-37825.73376267436,-37825.73376267436,-37825.73376267436,-37825.73376267436,-37825.73376267436,0.0,0.0,0.0,13027.057563902927
1998-10-01,51020.923432138625,13162.379779923209,13253.063736603097,51020.923432138625,51020.923432138625,-37813.56133617616,-37813.56133617616,-37813.56133617616,-37813.56133617616,-37813.56133617616,-37813.56133617616,0.0,0.0,0.0,13207.362095962468
1999-01-01,51119.98609688447,13279.459099838545,13371.117324563562,51119.98609688447,51119.98609688447,-37796.51982550195,-37796.51982550195,-37796.51982550195,-37796.51982550195,-37796.51982550195,-37796.51982550195,0.0,0.0,0.0,13323.466271382524
1999-04-01,51216.895225440196,13390.578473261327,13482.10389529751,51216.895225440196,51216.895225440196,-37783.41178418055,-37783.41178418055,-37783.41178418055,-37783.41178418055,-37783.41178418055,-37783.41178418055,0.0,0.0,0.0,13433.483441259646
1999-07-01,51314.88112209099,13548.106330196057,13646.672871220055,51314.88112209099,51314.88112209099,-37715.68679427897,-37715.68679427897,-37715.68679427897,-37715.68679427897,-37715.68679427897,-37715.68679427897,0.0,0.0,0.0,13599.194327812023
1999-10-01,51413.94378683684,13700.05232845401,13793.021083942627,51413.94378683684,51413.94378683684,-37668.10921261265,-37668.10921261265,-37668.10921261265,-37668.10921261265,-37668.10921261265,-37668.10921261265,0.0,0.0,0.0,13745.834574224187
2000-01-01,51513.00645158269,13824.641651065242,13921.553264638667,51513.00645158269,51513.00645158269,-37639.72516315269,-37639.72516315269,-37639.72516315269,-37639.72516315269,-37639.72516315269,-37639.72516315269,0.0,0.0,0.0,13873.28128843
2000-04-01,51610.99234823348,14021.553740519974,14113.43398470872,51610.99234823348,51610.99234823348,-37542.08901131612,-37542.08901131612,-37542.08901131612,-37542.08901131612,-37542.08901131612,-37542.08901131612,0.0,0.0,0.0,14068.903336917356
2000-07-01,51708.97824488427,14062.119068699974,14155.283617860863,51708.97824488427,51708.97824488427,-37600.51350588535,-37600.51350588535,-37600.51350588535,-37600.51350588535,-37600.51350588535,-37600.51350588535,0.0,0.0,0.0,14108.464738998919
2000-10-01,51808.04090963012,14142.550815504566,14238.170905011886,51808.04090963012,51808.04090963012,-37616.8632453138,-37616.8632453138,-37616.8632453138,-37616.8632453138,-37616.8632453138,-37616.8632453138,0.0,0.0,0.0,14191.177664316325
2001-01-01,51907.10357437597,14159.099473945298,14252.63727376115,51907.10357437597,51907.10357437597,-37701.021867638454,-37701.021867638454,-37701.021867638454,-37701.021867638454,-37701.021867638454,-37701.021867638454,0.0,0.0,0.0,14206.081706737517
2001-04-01,52004.012702931694,14230.791314927772,14328.332304363568,52004.012702931694,52004.012702931694,-37724.65961724064,-37724.65961724064,-37724.65961724064,-37724.65961724064,-37724.65961724064,-37724.65961724064,0.0,0.0,0.0,14279.353085691051
2001-07-01,52101.99859958248,14269.05082877318,14362.341158027291,52101.99859958248,52101.99859958248,-37787.46736365762,-37787.46736365762,-37787.46736365762,-37787.46736365762,-37787.46736365762,-37787.46736365762,0.0,0.0,0.0,14314.531235924864
2001-12-31,52299.04716097912,15300.693915057705,15466.320547324642,52228.32788594031,52363.062055601484,-36914.82854194516,-36914.82854194516,-36914.82854194516,-36914.82854194516,-36914.82854194516,-36914.82854194516,0.0,0.0,0.0,15384.218619033963
2002-12-31,52692.06751567734,16119.557220789537,16554.81458536631,52475.42968349661,52896.54207329061,-36346.42315803412,-36346.42315803412,-36346.42315803412,-36346.42315803412,-36346.42315803412,-36346.42315803412,0.0,0.0,0.0,16345.644357643221
2003-12-31,53085.08787037556,17013.317016724846,17845.057301480178,52660.14667869275,53489.94530845101,-35640.83726935022,-35640.83726935022,-35640.83726935022,-35640.83726935022,-35640.83726935022,-35640.83726935022,0.0,0.0,0.0,17444.250601025342
